Batch_ID,Medicine_Name,Category,Manufacturer,Manufacturing_Date,Expiry_Date,Current_Stock,Reorder_Level,Maximum_Stock,Unit_Price,Warehouse,Critical_Medicine
BATCH-0172,Metronidazole 400mg,Antibiotic,Sunrise Biotech,2025-02-11,2027-10-15,259,118,276,287.74,WH-East,No
BATCH-0098,Pantoprazole 40mg,Gastrointestinal,Sunrise Biotech,2025-06-07,not-a-date,269,133,360,482.43,WH-Central,No
BATCH-0134,Loratadine 10mg,Antihistamine,BlueCross Formulations,2024-12-15,2026-12-26,359,64,604,287.26,WH-Central,No
BATCH-0076,Losartan 50mg,Cardiovascular,MediCore Pharma,2025-03-05,2026-06-29,567,58,413,37.5,WH-South,Yes
BATCH-0123,Amlodipine 5mg,Cardiovascular,BlueCross Formulations,2024-11-12,2026-10-09,129,52,291,26.67,WH-Central,Yes
BATCH-0005,Clopidogrel 75mg,Cardiovascular,Vertex Pharmaceuticals Ltd,2022-08-18,2024-04-12,313,123,371,35.24,WH-East,Yes
BATCH-0027,Clotrimazole Cream,Antifungal,Global Health Labs,2024-01-31,2026-09-08,172,115,306,34.73,WH-South,No
BATCH-0004,Doxycycline 100mg,Antibiotic,Aurora Meds Co,2023-11-29,2026-06-16,159,127,412,365.0,WH-North,No
BATCH-0015,Folic Acid 5mg,Vitamin/Supplement,Vertex Pharmaceuticals Ltd,2024-01-29,2026-06-09,420,96,695,120.11,WH-Central,Yes
BATCH-0090,Ondansetron 4mg,Gastrointestinal,MediCore Pharma,2026-05-13,,381,116,451,312.89,WH-South,No
BATCH-0029,Atorvastatin 10mg,Cardiovascular,NovaCure Industries,2025-06-23,2026-10-04,160,83,435,336.01,WH-West,No
BATCH-0024,Metformin 500mg,Antidiabetic,MediCore Pharma,2024-08-02,2026-09-05,342,111,370,200.82,WH-South,No
BATCH-0153,Insulin Glargine,Antidiabetic,Zenith Life Sciences,2025-08-12,2028-04-22,197,110,516,478.88,WH-North,No
BATCH-0105,Losartan 50mg,Cardiovascular,Zenith Life Sciences,2026-12-20,2026-07-26,375,86,582,79.41,WH-East,No
BATCH-0170,Paracetamol 500mg,Analgesic,Crestline Pharma,2026-04-17,2027-05-06,305,82,342,75.19,WH-Central,No
BATCH-0177,Gliclazide 80mg,Antidiabetic,Vertex Pharmaceuticals Ltd,2026-02-19,2027-04-24,619,141,688,18.97,WH-North,No
BATCH-0129,Montelukast 10mg,Respiratory,Global Health Labs,2025-11-16,2028-01-13,567,93,666,199.67,WH-East,No
BATCH-0183,Diclofenac Gel,Analgesic,BlueCross Formulations,2025-07-11,2028-03-31,144,105,395,37.98,WH-East,No
BATCH-0114,Omeprazole 20mg,Gastrointestinal,Aurora Meds Co,2026-03-19,2029-02-07,-15,79,470,309.96,WH-East,No
BATCH-0135,Prednisolone 5mg,Other,NovaCure Industries,2026-06-11,2029-02-23,417,134,708,14.96,WH-East,No
BATCH-0141,Ranitidine 150mg,Gastrointestinal,Sunrise Biotech,2024-11-01,2025-12-27,137,50,304,472.69,WH-East,No
BATCH-0162,Metformin 500mg,Antidiabetic,Crestline Pharma,2025-04-15,2026-05-29,233,102,438,484.81,WH-East,No
BATCH-0158,Ciprofloxacin 500mg,Antibiotic,Sunrise Biotech,2025-08-24,2028-03-18,513,98,577,164.57,WH-Central,Yes
BATCH-0001,Metronidazole 400mg,Antibiotic,Aurora Meds Co,2024-05-28,2025-06-29,126,81,345,368.37,WH-North,No
BATCH-0129,Montelukast 10mg,Respiratory,Global Health Labs,2025-11-16,2028-01-13,567,93,666,199.67,WH-East,No
BATCH-0023,Vitamin C 1000mg,Vitamin/Supplement,Aurora Meds Co,2025-01-06,2026-10-04,216,106,669,25.77,WH-North,Yes
BATCH-0057,Oseltamivir 75mg,Antiviral,MediCore Pharma,2024-10-08,2027-04-07,40,53,667,296.15,WH-North,No
BATCH-0079,Doxycycline 100mg,Antibiotic,Sunrise Biotech,2025-12-07,2028-09-07,412,77,362,78.95,WH-Central,Yes
BATCH-0055,Ibuprofen 400mg,Analgesic,BlueCross Formulations,2024-11-25,2026-12-19,72,111,264,149.66,WH-West,No
BATCH-0070,Ibuprofen 400mg,Analgesic,Crestline Pharma,2026-04-03,2028-01-29,586,78,435,153.45,WH-East,No
BATCH-0100,Losartan 50mg,Cardiovascular,PharmaGen Inc,2025-07-26,0000-00-00,480,138,491,40.62,WH-Central,No
BATCH-0178,Diclofenac Gel,Analgesic,MediCore Pharma,2025-08-18,2027-07-01,403,115,468,236.96,WH-South,No
BATCH-0043,Cetirizine 10mg,Antihistamine,NovaCure Industries,2024-10-07,2026-08-24,87,134,718,360.02,WH-Central,No
BATCH-0024,Metformin 500mg,Antidiabetic,MediCore Pharma,2024-08-02,2026-09-05,342,111,370,200.82,WH-South,No
BATCH-0101,Hydrochlorothiazide 25mg,Cardiovascular,NovaCure Industries,2027-01-24,2026-08-29,99,54,520,117.77,WH-South,Yes
BATCH-0080,Paracetamol 500mg,Analgesic,Vertex Pharmaceuticals Ltd,2025-05-15,2027-08-19,781,138,592,145.98,WH-East,No
BATCH-0045,Warfarin 5mg,Cardiovascular,Crestline Pharma,2025-05-18,2027-11-30,16,50,355,105.49,WH-Central,No
BATCH-0106,Salbutamol Inhaler,Respiratory,Global Health Labs,2025-10-24,2028-02-03,-37,88,339,426.74,WH-South,No
BATCH-0143,Fluconazole 150mg,Antifungal,MediCore Pharma,2024-12-12,2027-10-27,206,95,281,430.95,WH-West,Yes
BATCH-0035,Prednisolone 5mg,Other,PharmaGen Inc,2024-06-22,2026-09-09,221,59,692,273.02,WH-Central,No
BATCH-0042,Salbutamol Inhaler,Respiratory,Vertex Pharmaceuticals Ltd,2026-07-06,2028-12-19,109,118,619,470.16,WH-East,No
BATCH-0180,Pantoprazole 40mg,Gastrointestinal,Aurora Meds Co,2025-07-25,2027-02-01,377,113,617,183.99,WH-East,Yes
BATCH-0125,Diclofenac Gel,Analgesic,Zenith Life Sciences,2025-01-20,2026-11-24,133,108,587,30.88,WH-West,No
BATCH-0038,Ondansetron 4mg,Gastrointestinal,MediCore Pharma,2024-05-22,2026-09-11,190,70,623,191.58,WH-West,No
BATCH-0020,Folic Acid 5mg,Vitamin/Supplement,Crestline Pharma,2022-02-25,2024-06-23,554,66,586,441.25,WH-West,No
BATCH-0146,Doxycycline 100mg,Antibiotic,NovaCure Industries,2025-10-31,2028-01-20,403,125,480,39.78,WH-East,No
BATCH-0102,Doxycycline 100mg,Antibiotic,MediCore Pharma,2025-04-09,31/02/2026,162,138,441,23.47,WH-East,No
BATCH-0191,Omeprazole 20mg,Gastrointestinal,BlueCross Formulations,2025-03-16,2027-10-01,120,66,529,33.34,WH-West,No
BATCH-0074,Omeprazole 20mg,Gastrointestinal,MediCore Pharma,2026-01-05,2027-11-10,647,51,563,63.73,WH-North,No
BATCH-0122,Oseltamivir 75mg,Antiviral,Sunrise Biotech,2024-12-31,2026-09-13,251,72,278,433.29,WH-North,No
BATCH-0189,Loratadine 10mg,Antihistamine,Sunrise Biotech,2026-05-02,2028-11-15,282,119,417,425.76,WH-East,No
BATCH-0192,Ondansetron 4mg,Gastrointestinal,Zenith Life Sciences,2025-05-14,2027-12-23,150,59,273,321.35,WH-West,No
